,0,1,2,3,4
0,46,69,46,64,21
1,46,10,68,91,65
2,95,63,69,6,17
3,23,75,99,55,93
4,21,60,27,41,27
5,50,12,22,48,97
6,89,59,41,39,33
7,66,74,8,38,38
8,58,73,74,43,98
9,29,9,20,37,55
10,15,88,13,51,54
11,98,56,39,39,95
12,0,76,9,44,20
13,70,48,39,29,79
14,40,98,97,26,29
15,71,14,69,10,26
16,50,83,4,96,78
17,24,40,35,35,29
18,58,69,10,40,32
19,72,43,91,19,95
20,72,9,95,50,2
21,91,89,42,15,36
22,74,32,15,52,80
23,54,98,87,90,65
24,61,9,85,27,46
25,75,81,97,69,72
26,74,7,92,25,6
27,4,42,35,88,60
28,71,61,47,96,67
29,84,19,11,39,72
30,78,75,87,18,3
31,20,60,54,38,92
32,62,41,54,86,48
33,94,34,24,59,11
34,7,70,39,61,41
35,96,59,22,74,93
36,42,39,3,18,10
37,74,74,49,38,44
38,32,68,21,98,84
39,36,96,50,80,88
40,86,84,93,47,80
41,68,72,10,51,37
42,3,73,39,77,68
43,56,73,44,12,29
44,43,23,61,92,63
45,18,81,21,88,31
46,72,76,50,99,63
47,33,41,48,98,2
48,58,49,63,42,72
49,85,75,9,4,29
50,67,38,88,63,99
51,92,59,50,29,83
52,29,43,39,17,64
53,91,19,53,56,32
54,78,53,11,67,65
55,14,40,18,48,24
56,43,38,78,96,1
57,8,4,20,89,32
58,50,50,63,52,5
59,3,75,28,58,88
60,20,8,46,99,49
61,54,98,9,0,59
62,27,84,17,67,39
63,3,80,25,7,42
64,42,59,68,88,51
65,44,93,80,43,61
66,2,77,91,54,36
67,83,21,59,37,5
68,41,18,52,35,87
69,61,84,57,56,47
70,38,22,28,18,44
71,80,55,19,15,68
72,96,98,31,0,89
73,10,70,89,44,74
74,56,86,55,54,54
75,88,0,45,98,29
76,77,27,66,13,53
77,28,26,65,32,83
78,76,27,24,26,89
79,42,29,39,9,78
80,72,10,96,50,41
81,15,44,33,64,10
82,73,42,69,51,54
83,24,41,33,57,75
84,61,2,91,79,83
85,48,84,61,90,12
86,68,74,38,81,7
87,49,6,94,16,23
88,40,42,0,88,34
89,2,36,1,9,73
90,80,51,48,99,39
91,7,69,46,80,56
92,69,61,9,11,64
93,69,81,96,95,33
94,1,32,6,20,31
95,97,39,62,40,67
96,41,31,87,70,99
97,40,47,91,70,42
98,34,80,96,1,35
99,91,95,42,63,95
